"2018","type","DGP","niter"
0.0404374328274517,"est",1,1
0.0714386767218861,"se",1,1
1,"coverage",1,1
28.5579829216003,"time",1,1
-0.0536497632128911,"est",2,1
0.325253088816113,"se",2,1
1,"coverage",2,1
21.3390300273895,"time",2,1
-0.0293368048275194,"est",1,2
0.0628655461179648,"se",1,2
1,"coverage",1,2
34.7937450408936,"time",1,2
0.0754173045923376,"est",2,2
0.349493147398634,"se",2,2
1,"coverage",2,2
25.5508260726929,"time",2,2
-0.0714879251716877,"est",1,3
0.0578621892562069,"se",1,3
1,"coverage",1,3
24.6106221675873,"time",1,3
0.105807358202759,"est",2,3
0.297042816678519,"se",2,3
1,"coverage",2,3
19.469064950943,"time",2,3
0.0088788809892445,"est",1,4
0.0709699453878755,"se",1,4
1,"coverage",1,4
26.285080909729,"time",1,4
0.0640504229876355,"est",2,4
0.229741298259682,"se",2,4
1,"coverage",2,4
26.1380660533905,"time",2,4
-0.00371683082875224,"est",1,5
0.0679380620617552,"se",1,5
1,"coverage",1,5
27.1955718994141,"time",1,5
-0.051356676105633,"est",2,5
0.223934661746994,"se",2,5
1,"coverage",2,5
29.7569580078125,"time",2,5
0.0347628294623765,"est",1,6
0.0672585326631186,"se",1,6
1,"coverage",1,6
38.353245973587,"time",1,6
0.0213613159036621,"est",2,6
0.275569908871431,"se",2,6
1,"coverage",2,6
20.4348750114441,"time",2,6
0.0513247505988635,"est",1,7
0.0626911213001341,"se",1,7
1,"coverage",1,7
25.915787935257,"time",1,7
-0.101596031981695,"est",2,7
0.188111223561883,"se",2,7
1,"coverage",2,7
25.7693159580231,"time",2,7
-0.00324608589044476,"est",1,8
0.0574341873286225,"se",1,8
1,"coverage",1,8
28.5145401954651,"time",1,8
0.0651301754206459,"est",2,8
0.248043746464633,"se",2,8
1,"coverage",2,8
22.6285200119019,"time",2,8
0.118420998951967,"est",1,9
0.0610357809040862,"se",1,9
1,"coverage",1,9
27.6263771057129,"time",1,9
0.279571132332073,"est",2,9
0.358719946942456,"se",2,9
1,"coverage",2,9
22.4225449562073,"time",2,9
-0.0168546158498116,"est",1,10
0.0631036310773875,"se",1,10
1,"coverage",1,10
29.5688149929047,"time",1,10
-0.168845540914025,"est",2,10
0.282418366510353,"se",2,10
1,"coverage",2,10
25.4080040454865,"time",2,10
0.01218901603353,"est",1,11
0.0742220196606042,"se",1,11
1,"coverage",1,11
28.9383449554443,"time",1,11
0.243887961103462,"est",2,11
0.297355929270623,"se",2,11
1,"coverage",2,11
23.8778140544891,"time",2,11
0.000311467438339097,"est",1,12
0.0626756272547235,"se",1,12
1,"coverage",1,12
