"2018","type","DGP","niter"
-1.04855578202958,"cs_lb",3,1
0.381512610324716,"cs_ub",3,1
1,"coverage",3,1
498.079238176346,"time",3,1
-1.06596133372692,"cs_lb",4,1
6.01981365507122,"cs_ub",4,1
1,"coverage",4,1
498.300164937973,"time",4,1
-0.82475564417558,"cs_lb",3,2
1.09654680650187,"cs_ub",3,2
1,"coverage",3,2
497.571873903275,"time",3,2
-1.45890180343831,"cs_lb",4,2
5.53522410044081,"cs_ub",4,2
1,"coverage",4,2
499.31732416153,"time",4,2
-0.961380538737016,"cs_lb",3,3
1.03597435681257,"cs_ub",3,3
1,"coverage",3,3
499.676045894623,"time",3,3
-0.754685200223424,"cs_lb",4,3
6.35020901621855,"cs_ub",4,3
1,"coverage",4,3
502.852682113647,"time",4,3
-0.68537328548273,"cs_lb",3,4
0.905947382676048,"cs_ub",3,4
1,"coverage",3,4
500.45654296875,"time",3,4
-1.06706868052299,"cs_lb",4,4
6.224325018328,"cs_ub",4,4
1,"coverage",4,4
503.623982906342,"time",4,4
-1.16243892538879,"cs_lb",3,5
0.834162342453112,"cs_ub",3,5
1,"coverage",3,5
499.745059967041,"time",3,5
-1.25124909213596,"cs_lb",4,5
5.63055308087383,"cs_ub",4,5
1,"coverage",4,5
501.198657035828,"time",4,5
-0.980536075364559,"cs_lb",3,6
0.944883532619669,"cs_ub",3,6
1,"coverage",3,6
499.057384967804,"time",3,6
-0.964039648592458,"cs_lb",4,6
6.0927237463685,"cs_ub",4,6
1,"coverage",4,6
505.523418903351,"time",4,6
-1.25606188580617,"cs_lb",3,7
0.890786234667377,"cs_ub",3,7
1,"coverage",3,7
493.799696207047,"time",3,7
-0.913214864352514,"cs_lb",4,7
5.5639327775643,"cs_ub",4,7
1,"coverage",4,7
502.180694103241,"time",4,7
-0.836751310273724,"cs_lb",3,8
0.937114514925083,"cs_ub",3,8
1,"coverage",3,8
499.137940168381,"time",3,8
-0.86656463492499,"cs_lb",4,8
6.10237831516314,"cs_ub",4,8
1,"coverage",4,8
501.714813947678,"time",4,8
-0.799159116525055,"cs_lb",3,9
1.00172099316693,"cs_ub",3,9
1,"coverage",3,9
498.121947050095,"time",3,9
-1.06838543605977,"cs_lb",4,9
5.64870302353165,"cs_ub",4,9
1,"coverage",4,9
500.386672019958,"time",4,9
-0.892088996122288,"cs_lb",3,10
1.21936327141474,"cs_ub",3,10
1,"coverage",3,10
496.320406913757,"time",3,10
-1.04376676033388,"cs_lb",4,10
5.72025951197681,"cs_ub",4,10
1,"coverage",4,10
503.892343997955,"time",4,10
-1.20390531909663,"cs_lb",3,11
0.863461095858982,"cs_ub",3,11
1,"coverage",3,11
501.575797080994,"time",3,11
-1.23965316820828,"cs_lb",4,11
5.74365860281361,"cs_ub",4,11
1,"coverage",4,11
502.902019023895,"time",4,11
-1.22592877194731,"cs_lb",3,12
0.938757243633171,"cs_ub",3,12
1,"coverage",3,12
499.908701896667,"time",3,12
-1.60000937325405,"cs_lb",4,12
5.45221269410786,"cs_ub",4,12
1,"coverage",4,12
500.683257818222,"time",4,12
-1.18757502289522,"cs_lb",3,13
0.892882693852261,"cs_ub",3,13
1,"coverage",3,13
496.030114889145,"time",3,13
-1.14091264567645,"cs_lb",4,13
5.84329249215946,"cs_ub",4,13
1,"coverage",4,13
504.272752046585,"time",4,13
-1.2022366183571,"cs_lb",3,14
0.960872693807291,"cs_ub",3,14
1,"coverage",3,14
501.342949867249,"time",3,14
-0.732438224579939,"cs_lb",4,14
6.0197133288616,"cs_ub",4,14
1,"coverage",4,14
498.92689204216,"time",4,14
-1.04721281681073,"cs_lb",3,15
0.922546880671414,"cs_ub",3,15
1,"coverage",3,15
497.521311998367,"time",3,15
-0.902997393889642,"cs_lb",4,15
5.90007919976464,"cs_ub",4,15
1,"coverage",4,15
505.362390995026,"time",4,15
-0.848883890169431,"cs_lb",3,16
1.25048935728676,"cs_ub",3,16
1,"coverage",3,16
496.101663827896,"time",3,16
-0.830046196654534,"cs_lb",4,16
5.57031325215688,"cs_ub",4,16
1,"coverage",4,16
503.629959821701,"time",4,16
-1.04052853283044,"cs_lb",3,17
0.884047422929228,"cs_ub",3,17
1,"coverage",3,17
500.427664041519,"time",3,17
-1.41431323966642,"cs_lb",4,17
5.75566785769191,"cs_ub",4,17
1,"coverage",4,17
502.516287088394,"time",4,17
-1.14725557133321,"cs_lb",3,18
1.0440374976409,"cs_ub",3,18
1,"coverage",3,18
498.030335903168,"time",3,18
-0.900461387391834,"cs_lb",4,18
5.96331072972485,"cs_ub",4,18
1,"coverage",4,18
498.858727931976,"time",4,18
-0.573821373609059,"cs_lb",3,19
0.571167617924035,"cs_ub",3,19
1,"coverage",3,19
504.535237073898,"time",3,19
-1.07384008918206,"cs_lb",4,19
5.88970867827071,"cs_ub",4,19
1,"coverage",4,19
501.289469003677,"time",4,19
-0.804708599074793,"cs_lb",3,20
1.02315708605639,"cs_ub",3,20
1,"coverage",3,20
499.853264093399,"time",3,20
-1.27550467462261,"cs_lb",4,20
5.96389068434568,"cs_ub",4,20
1,"coverage",4,20
501.854363918304,"time",4,20
-0.264741314202804,"cs_lb",3,21
1.15313763982889,"cs_ub",3,21
1,"coverage",3,21
497.087595939636,"time",3,21
-0.94893298016045,"cs_lb",4,21
6.01490882582835,"cs_ub",4,21
1,"coverage",4,21
505.951071023941,"time",4,21
-0.760993401824456,"cs_lb",3,22
0.830738670296866,"cs_ub",3,22
1,"coverage",3,22
498.187427043915,"time",3,22
-0.973023301580179,"cs_lb",4,22
6.37426033239555,"cs_ub",4,22
1,"coverage",4,22
502.579946041107,"time",4,22
-0.899781952744788,"cs_lb",3,23
0.900722935965878,"cs_ub",3,23
1,"coverage",3,23
501.505276918411,"time",3,23
-0.716286489456677,"cs_lb",4,23
6.09252414961853,"cs_ub",4,23
1,"coverage",4,23
503.666786909103,"time",4,23
-0.918962555775331,"cs_lb",3,24
1.27334143135552,"cs_ub",3,24
1,"coverage",3,24
503.118259906769,"time",3,24
-0.595648478810024,"cs_lb",4,24
6.63107136625268,"cs_ub",4,24
1,"coverage",4,24
504.738888978958,"time",4,24
-1.10120887223901,"cs_lb",3,25
0.607406833287564,"cs_ub",3,25
1,"coverage",3,25
504.964776039124,"time",3,25
-1.43773621718076,"cs_lb",4,25
5.78941434471186,"cs_ub",4,25
1,"coverage",4,25
501.773880004883,"time",4,25
-1.09494665666041,"cs_lb",3,26
0.784682640551711,"cs_ub",3,26
1,"coverage",3,26
504.285754203796,"time",3,26
-0.991109501731252,"cs_lb",4,26
6.02559985447856,"cs_ub",4,26
1,"coverage",4,26
505.232804059982,"time",4,26
-0.935800496521814,"cs_lb",3,27
1.14420324288079,"cs_ub",3,27
1,"coverage",3,27
502.357168912888,"time",3,27
-0.818136225626204,"cs_lb",4,27
5.99988304378856,"cs_ub",4,27
1,"coverage",4,27
501.871362924576,"time",4,27
-0.828008485267978,"cs_lb",3,28
0.876034768662165,"cs_ub",3,28
1,"coverage",3,28
498.470495223999,"time",3,28
-0.990359211695914,"cs_lb",4,28
5.64655290505106,"cs_ub",4,28
1,"coverage",4,28
504.324044942856,"time",4,28
-1.11171221099038,"cs_lb",3,29
0.822311798480836,"cs_ub",3,29
1,"coverage",3,29
504.506644010544,"time",3,29
-1.15800743588853,"cs_lb",4,29
5.83875808308972,"cs_ub",4,29
1,"coverage",4,29
502.163338899612,"time",4,29
-0.904722031113127,"cs_lb",3,30
1.00683795453766,"cs_ub",3,30
1,"coverage",3,30
498.617640972137,"time",3,30
-0.702520906577872,"cs_lb",4,30
6.01549619468668,"cs_ub",4,30
1,"coverage",4,30
500.60945892334,"time",4,30
-1.28019964406824,"cs_lb",3,31
1.15037584948818,"cs_ub",3,31
1,"coverage",3,31
495.381242990494,"time",3,31
-0.774087287752228,"cs_lb",4,31
6.21005017555937,"cs_ub",4,31
1,"coverage",4,31
499.716836929321,"time",4,31
-1.06656975078915,"cs_lb",3,32
0.755307903476408,"cs_ub",3,32
1,"coverage",3,32
500.715246915817,"time",3,32
-0.699194526721373,"cs_lb",4,32
6.13515741452852,"cs_ub",4,32
1,"coverage",4,32
500.726044893265,"time",4,32
-0.848685827133665,"cs_lb",3,33
1.04992071867484,"cs_ub",3,33
1,"coverage",3,33
498.07959985733,"time",3,33
-1.58511366605967,"cs_lb",4,33
5.87308991807602,"cs_ub",4,33
1,"coverage",4,33
503.017891168594,"time",4,33
-1.17396315846547,"cs_lb",3,34
0.889167775619748,"cs_ub",3,34
1,"coverage",3,34
502.404834032059,"time",3,34
-1.12420823155826,"cs_lb",4,34
5.84575499511943,"cs_ub",4,34
1,"coverage",4,34
504.413797855377,"time",4,34
-0.851091196587485,"cs_lb",3,35
1.22279325875289,"cs_ub",3,35
1,"coverage",3,35
496.804831027985,"time",3,35
-0.716566755127723,"cs_lb",4,35
5.99616452184469,"cs_ub",4,35
1,"coverage",4,35
503.88263297081,"time",4,35
-0.821583194457932,"cs_lb",3,36
0.709566973960462,"cs_ub",3,36
1,"coverage",3,36
500.85514998436,"time",3,36
-0.861425300512694,"cs_lb",4,36
5.71601118900439,"cs_ub",4,36
1,"coverage",4,36
502.369500160217,"time",4,36
-0.974033653579736,"cs_lb",3,37
0.71486374846033,"cs_ub",3,37
1,"coverage",3,37
498.835489988327,"time",3,37
-1.17565257413463,"cs_lb",4,37
6.00520374267955,"cs_ub",4,37
1,"coverage",4,37
504.836640119553,"time",4,37
-0.909271827188217,"cs_lb",3,38
0.890093701787196,"cs_ub",3,38
1,"coverage",3,38
498.550617933273,"time",3,38
-1.0734806701296,"cs_lb",4,38
5.75428241570497,"cs_ub",4,38
1,"coverage",4,38
503.576701879501,"time",4,38
-1.00212355066452,"cs_lb",3,39
1.06924928474586,"cs_ub",3,39
1,"coverage",3,39
501.243127822876,"time",3,39
-1.00026475308202,"cs_lb",4,39
5.97741581955256,"cs_ub",4,39
1,"coverage",4,39
506.093587875366,"time",4,39
-1.12502054256348,"cs_lb",3,40
0.738819693733824,"cs_ub",3,40
1,"coverage",3,40
527.308981180191,"time",3,40
-1.07459730389974,"cs_lb",4,40
6.20544857311475,"cs_ub",4,40
1,"coverage",4,40
516.8496530056,"time",4,40
-0.60049452920797,"cs_lb",3,41
0.751954722304782,"cs_ub",3,41
1,"coverage",3,41
515.328359127045,"time",3,41
-1.2050461205721,"cs_lb",4,41
6.07646125086801,"cs_ub",4,41
1,"coverage",4,41
520.916573047638,"time",4,41
-0.996078780790937,"cs_lb",3,42
0.791121694023352,"cs_ub",3,42
1,"coverage",3,42
521.176401853561,"time",3,42
-1.05073465461956,"cs_lb",4,42
5.94744803396956,"cs_ub",4,42
1,"coverage",4,42
524.598648071289,"time",4,42
-0.94586493847543,"cs_lb",3,43
1.26529391126965,"cs_ub",3,43
1,"coverage",3,43
516.955847978592,"time",3,43
-1.150644652986,"cs_lb",4,43
